Device,Date,Start Time,End Time
"32"" Smart Monitor M80B UHD",2023-07-06,13:27,15:00
Echo Dot (4th Gen),2023-07-06,13:20,15:00
"32"" Smart Monitor M80B UHD",2023-07-11,13:31,16:15
Echo Show 8 ,2023-07-11,13:39,13:40
Netatmo Smart Indoor Security Camera,2023-07-11,13:31,16:15
Samsung Smart Cam,2023-07-11,14:14,14:25
Ring Video Doorbell,2023-07-11,16:03,16:05
Netatmo Smart Indoor Security Camera,2023-07-12,14:19,16:03
"32"" Smart Monitor M80B UHD",2023-07-12,14:25,16:03
TP-Link Tapo Pan/Tilt Wi-Fi Camera,2023-07-12,14:52,14:53
Perfk Motion Sensor,2023-07-12,15:20,15:25
"32"" Smart Monitor M80B UHD",2023-07-13,15:12,16:00
"32"" Smart Monitor M80B UHD",2023-07-18,14:04,16:20
"32"" Smart Monitor M80B UHD",2023-07-24,13:42,16:02
Pix-Star Easy Digital Photo Frame,2023-07-24,15:35,15:40
Echo Show 8 ,2023-07-25,14:41,16:25